epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,24034.6,0.42446,0.53096,0.29824,0.90949,0.99488,1,0.995,0.96686,0.99488,1,0.995,0.98168,0.30107,0.44057,0.19707,0.79274,0.00505,0.00505,0.00505
52,24496.8,0.40858,0.52214,0.29238,0.90754,0.99308,1,0.995,0.97232,0.99308,1,0.995,0.97929,0.31684,0.45128,0.22468,0.79972,0.004951,0.004951,0.004951
53,25037.8,0.41154,0.53816,0.29856,0.90717,0.99818,1,0.995,0.95729,0.99818,1,0.995,0.9729,0.29653,0.44418,0.19502,0.80493,0.004852,0.004852,0.004852
54,25456.3,0.40829,0.54952,0.28495,0.91008,0.99428,1,0.995,0.96765,0.99428,1,0.995,0.96936,0.28505,0.47088,0.17762,0.80167,0.004753,0.004753,0.004753
55,25906.6,0.40428,0.53634,0.2939,0.90956,0.99439,1,0.995,0.9701,0.99439,1,0.995,0.97027,0.30582,0.47678,0.19326,0.81569,0.004654,0.004654,0.004654
56,26312.8,0.40733,0.51069,0.30157,0.90755,0.99436,1,0.995,0.93757,0.99436,1,0.995,0.97076,0.33192,0.46323,0.20236,0.81189,0.004555,0.004555,0.004555
57,26785.6,0.38881,0.50105,0.27589,0.90719,0.99575,1,0.995,0.97229,0.99575,1,0.995,0.97496,0.29889,0.46376,0.1958,0.811,0.004456,0.004456,0.004456
58,27338,0.39145,0.49488,0.28256,0.90318,0.99471,1,0.995,0.97326,0.99471,1,0.995,0.98329,0.25531,0.43977,0.18499,0.78223,0.004357,0.004357,0.004357
59,27740.1,0.38535,0.50053,0.26692,0.90535,0.9959,1,0.995,0.97879,0.9959,1,0.995,0.98062,0.27827,0.44019,0.18714,0.79646,0.004258,0.004258,0.004258
60,28163.2,0.38536,0.50959,0.26945,0.90988,0.99473,1,0.995,0.96628,0.99473,1,0.995,0.97718,0.28676,0.45865,0.17452,0.80013,0.004159,0.004159,0.004159
61,28594.3,0.37151,0.49613,0.26324,0.90416,0.99459,1,0.995,0.9709,0.99459,1,0.995,0.98289,0.30537,0.44929,0.18652,0.80506,0.00406,0.00406,0.00406
62,29109,0.37895,0.50584,0.26745,0.89725,0.99468,1,0.995,0.96041,0.99468,1,0.995,0.98092,0.29944,0.47224,0.18853,0.80676,0.003961,0.003961,0.003961
63,29572,0.38442,0.49372,0.25729,0.89878,0.9964,1,0.995,0.9693,0.9964,1,0.995,0.98343,0.31109,0.45662,0.18514,0.79237,0.003862,0.003862,0.003862
64,30015,0.39269,0.51321,0.2789,0.90619,0.99476,1,0.995,0.96776,0.99476,1,0.995,0.97707,0.27672,0.45445,0.16542,0.78678,0.003763,0.003763,0.003763
